с,В
30.5933,1.3132
30.5938,1.3118
30.5944,1.3102
30.5949,1.3100
30.5954,1.3092
30.5960,1.3033
30.5965,1.2882
30.5970,1.2639
30.5976,1.2364
30.5981,1.2164
30.5987,1.2146
30.5992,1.2363
30.5997,1.2785
30.6003,1.3303
30.6008,1.3779
30.6013,1.4092
30.6019,1.4175
30.6024,1.4021
30.6029,1.3675
30.6035,1.3221
30.6040,1.2766
30.6046,1.2409
30.6051,1.2213
30.6056,1.2181
30.6062,1.2262
30.6067,1.2372
30.6072,1.2426
30.6078,1.2367
30.6083,1.2181
30.6089,1.1900
30.6094,1.1585
30.6099,1.1302
30.6105,1.1091
30.6110,1.0953
30.6115,1.0860
30.6121,1.0781
30.6126,1.0711
30.6131,1.0683
30.6137,1.0745
30.6142,1.0931
30.6148,1.1229
30.6153,1.1587
30.6158,1.1925
30.6164,1.2167
30.6169,1.2267
30.6174,1.2228
30.6180,1.2091
30.6185,1.1921
30.6190,1.1786
30.6196,1.1730
30.6201,1.1758
30.6207,1.1834
30.6212,1.1895
30.6217,1.1877
30.6223,1.1739
30.6228,1.1476
30.6233,1.1130
30.6239,1.0781
30.6244,1.0539
30.6249,1.0495
30.6255,1.0690
30.6260,1.1083
30.6266,1.1562
30.6271,1.1982
30.6276,1.2214
30.6282,1.2191
30.6287,1.1932
30.6292,1.1531
30.6298,1.1124
30.6303,1.0842
30.6308,1.0779
30.6314,1.0956
30.6319,1.1319
30.6324,1.1764
30.6330,1.2177
30.6335,1.2480
30.6341,1.2653
30.6346,1.2732
30.6351,1.2773
30.6357,1.2824
30.6362,1.2897
30.6367,1.2971
30.6373,1.3009
30.6378,1.2980
30.6383,1.2873
30.6389,1.2699
30.6394,1.2491
30.6400,1.2291
30.6405,1.2140
30.6410,1.2054
30.6416,1.2019
30.6421,1.1995
30.6426,1.1937
30.6432,1.1820
30.6437,1.1659
30.6442,1.1500
30.6448,1.1402
30.6454,1.1422
30.6460,1.1587
30.6465,1.1884
30.6471,1.2258
30.6477,1.2629
30.6483,1.2917
30.6488,1.3075
30.6494,1.3110
30.6499,1.3076
30.6505,1.3047
30.6510,1.3094
30.6516,1.3251
30.6522,1.3509
30.6528,1.3812
30.6533,1.4072
30.6539,1.4193
30.6544,1.4095
30.6550,1.3739
30.6555,1.3146
30.6561,1.2400
30.6566,1.1644
30.6572,1.1056
30.6577,1.0795
30.6582,1.0941
30.6588,1.1442
30.6593,1.2114
30.6599,1.2695
30.6605,1.2953
30.6611,1.2783
30.6617,1.2242
30.6622,1.1526
30.6628,1.0871
30.6634,1.0463
30.6640,1.0378
30.6646,1.0583
30.6652,1.0974
30.6657,1.1442
30.6663,1.1908
30.6669,1.2338
30.6675,1.2733
30.6680,1.3103
30.6686,1.3445
30.6692,1.3729
30.6697,1.3894
30.6703,1.3872
30.6708,1.3619
30.6714,1.3146
30.6719,1.2530
30.6725,1.1886
30.6730,1.1326
30.6736,1.0920
30.6741,1.0683
30.6747,1.0588
30.6752,1.0584
30.6757,1.0619
30.6763,1.0656
30.6768,1.0695
30.6774,1.0779
30.6779,1.0979
30.6784,1.1350
30.6790,1.1896
30.6795,1.2551
30.6801,1.3190
30.6806,1.3676
30.6811,1.3907
30.6817,1.3858
30.6822,1.3583
30.6828,1.3187
30.6833,1.2783
30.6838,1.2451
30.6844,1.2221
30.6849,1.2082
30.6855,1.1995
30.6860,1.1920
30.6866,1.1836
30.6871,1.1757
30.6877,1.1720
30.6882,1.1760
30.6887,1.1884
30.6893,1.2060
30.6898,1.2236
30.6904,1.2357
30.6909,1.2390
30.6914,1.2331
30.6920,1.2207
30.6925,1.2061
30.6931,1.1929
30.6936,1.1822
30.6941,1.1721
30.6947,1.1605
30.6952,1.1485
30.6958,1.1404
30.6963,1.1411
30.6968,1.1519
30.6974,1.1684
30.6979,1.1824
30.6985,1.1864
30.6990,1.1780
30.6995,1.1608
30.7001,1.1430
30.7006,1.1333
30.7012,1.1373
30.7017,1.1546
30.7022,1.1790
30.7028,1.2013
30.7033,1.2133
30.7039,1.2105
30.7044,1.1933
30.7050,1.1653
30.7055,1.1315
30.7060,1.0964
30.7066,1.0640
30.7071,1.0372
30.7077,1.0193
30.7082,1.0128
30.7088,1.0197
30.7093,1.0394
30.7098,1.0689
30.7104,1.1032
30.7109,1.1368
30.7115,1.1647
30.7120,1.1846
30.7125,1.1966
30.7131,1.2037
30.7136,1.2094
30.7142,1.2164
30.7147,1.2258
30.7152,1.2371
30.7158,1.2488
30.7163,1.2592
30.7169,1.2675
30.7174,1.2731
30.7180,1.2760
30.7185,1.2753
30.7190,1.2701
30.7196,1.2593
30.7201,1.2427
30.7207,1.2217
30.7212,1.1996
30.7218,1.1821
30.7223,1.1761
30.7228,1.1872
30.7234,1.2169
30.7239,1.2602
30.7245,1.3063
30.7250,1.3419
30.7256,1.3566
30.7261,1.3459
30.7267,1.3135
30.7272,1.2694
30.7277,1.2261
30.7283,1.1934
30.7288,1.1760
30.7294,1.1728
30.7299,1.1791
30.7304,1.1893
30.7310,1.1990
30.7315,1.2050
30.7321,1.2062
30.7326,1.2027
30.7331,1.1960
30.7337,1.1880
30.7342,1.1805
30.7348,1.1737
30.7353,1.1668
30.7358,1.1597
30.7364,1.1546
30.7369,1.1559
30.7375,1.1676
30.7380,1.1907
30.7386,1.2213
30.7391,1.2527
30.7396,1.2792
30.7402,1.2991
30.7407,1.3153
30.7413,1.3324
30.7418,1.3539
30.7423,1.3795
30.7429,1.4047
30.7434,1.4218
30.7440,1.4223
30.7445,1.4000
30.7451,1.3537
30.7456,1.2894
30.7462,1.2202
30.7467,1.1631
30.7472,1.1330
30.7478,1.1373
30.7483,1.1723
30.7489,1.2239
30.7494,1.2729
30.7499,1.3018
30.7505,1.3006
30.7510,1.2700
30.7516,1.2197
30.7521,1.1635
30.7526,1.1139
30.7532,1.0788
30.7538,1.0605
30.7543,1.0582
30.7549,1.0696
30.7555,1.0925
30.7560,1.1242
30.7566,1.1610
30.7571,1.1963
30.7576,1.2214
30.7582,1.2276
30.7587,1.2098
