с,В
0.3725,1.7317
0.3731,1.7267
0.3737,1.7368
0.3743,1.7368
0.3749,1.7317
0.3755,1.7368
0.3760,1.7368
0.3766,1.7317
0.3772,1.7317
0.3777,1.7368
0.3783,1.7368
0.3789,1.7368
0.3795,1.7368
0.3800,1.7368
0.3806,1.7368
0.3812,1.7368
0.3818,1.7368
0.3824,1.7368
0.3829,1.7317
0.3835,1.7317
0.3841,1.7317
0.3846,1.7317
0.3852,1.7317
0.3858,1.7368
0.3864,1.7368
0.3869,1.7267
0.3875,1.7368
0.3881,1.7368
0.3888,1.7368
0.3895,1.7317
0.3903,1.7368
0.3910,1.7317
0.3916,1.7267
0.3923,1.7317
0.3930,1.7317
0.3937,1.7368
0.3944,1.7368
0.3952,1.7317
0.3958,1.7368
0.3964,1.7368
0.3970,1.7317
0.3980,1.7317
0.3986,1.7317
0.3992,1.7368
0.3998,1.7368
0.4004,1.7368
0.4010,1.7317
0.4017,1.7368
0.4023,1.7317
0.4028,1.7317
0.4034,1.7368
0.4039,1.7368
0.4045,1.7317
0.4051,1.7267
0.4056,1.7368
0.4062,1.7368
0.4067,1.7368
0.4073,1.7368
0.4079,1.7368
0.4084,1.7317
0.4090,1.7368
0.4095,1.7317
0.4100,1.7267
0.4106,1.7267
0.4111,1.7267
0.4116,1.7317
0.4122,1.7267
0.4127,1.7317
0.4133,1.7317
0.4138,1.7317
0.4145,1.7368
0.4151,1.7317
0.4156,1.7267
0.4162,1.7368
0.4167,1.7317
0.4172,1.7368
0.4178,1.7368
0.4183,1.7317
0.4189,1.7267
0.4195,1.7368
0.4201,1.7368
0.4207,1.7368
0.4215,1.7368
0.4220,1.7368
0.4226,1.7368
0.4231,1.7368
0.4236,1.7368
0.4242,1.7368
0.4247,1.7267
0.4252,1.7317
0.4258,1.7317
0.4264,1.7368
0.4270,1.7267
0.4277,1.7317
0.4283,1.7317
0.4288,1.7368
0.4294,1.7368
0.4299,1.7368
0.4304,1.7317
0.4309,1.7368
0.4315,1.7368
0.4320,1.7368
0.4325,1.7368
0.4331,1.7368
0.4336,1.7317
0.4341,1.7368
0.4347,1.7368
0.4352,1.7368
0.4357,1.7317
0.4362,1.7317
0.4368,1.7368
0.4373,1.7368
0.4378,1.7368
0.4384,1.7419
0.4389,1.7419
0.4394,1.7368
0.4399,1.7368
0.4405,1.7368
0.4410,1.7368
0.4415,1.7368
0.4421,1.7368
0.4426,1.7368
0.4431,1.7419
0.4436,1.7419
0.4442,1.7368
0.4447,1.7368
0.4452,1.7368
0.4457,1.7317
0.4463,1.7368
0.4468,1.7368
0.4473,1.7419
0.4479,1.7419
0.4484,1.7368
0.4490,1.7368
0.4495,1.7317
0.4501,1.7368
0.4507,1.7317
0.4513,1.7368
0.4518,1.7368
0.4524,1.7419
0.4529,1.7368
0.4535,1.7317
0.4540,1.7368
0.4546,1.7419
0.4551,1.7419
0.4556,1.7419
0.4561,1.7419
0.4567,1.7419
0.4572,1.7368
0.4578,1.7368
0.4583,1.7368
0.4588,1.7317
0.4594,1.7419
0.4599,1.7368
0.4604,1.7419
0.4610,1.7368
0.4615,1.7419
0.4620,1.7419
0.4626,1.7317
0.4632,1.7368
0.4637,1.7419
0.4642,1.7419
0.4647,1.7368
0.4653,1.7317
0.4658,1.7419
0.4664,1.7419
0.4670,1.7317
0.4675,1.7368
0.4680,1.7317
0.4686,1.7368
0.4691,1.7419
0.4696,1.7419
0.4701,1.7419
0.4706,1.7419
0.4712,1.7419
0.4717,1.7419
0.4722,1.7368
0.4727,1.7368
0.4733,1.7368
0.4738,1.7419
0.4743,1.7419
0.4748,1.7419
0.4753,1.7368
0.4759,1.7368
0.4764,1.7419
0.4769,1.7368
0.4774,1.7368
0.4780,1.7368
0.4785,1.7419
0.4790,1.7469
0.4795,1.7419
0.4801,1.7419
0.4806,1.7419
0.4811,1.7419
0.4816,1.7419
0.4822,1.7419
0.4827,1.7419
0.4832,1.7419
0.4837,1.7419
0.4842,1.7419
0.4848,1.7368
0.4853,1.7419
0.4858,1.7419
0.4863,1.7419
0.4869,1.7317
0.4874,1.7368
0.4879,1.7419
0.4884,1.7419
0.4890,1.7419
0.4895,1.7368
0.4900,1.7419
0.4905,1.7419
0.4910,1.7368
0.4916,1.7419
0.4921,1.7419
0.4926,1.7419
0.4931,1.7469
0.4937,1.7419
0.4942,1.7368
0.4947,1.7419
0.4952,1.7317
0.4957,1.7419
0.4963,1.7419
0.4968,1.7419
0.4973,1.7419
0.4978,1.7419
0.4984,1.7419
0.4989,1.7419
0.4994,1.7368
0.4999,1.7419
0.5005,1.7419
0.5010,1.7419
0.5015,1.7419
0.5020,1.7419
0.5026,1.7368
0.5031,1.7419
0.5036,1.7419
0.5041,1.7419
0.5047,1.7419
0.5052,1.7419
0.5057,1.7368
0.5062,1.7419
0.5068,1.7419
0.5073,1.7368
0.5078,1.7317
0.5083,1.7419
0.5089,1.7419
0.5094,1.7419
0.5099,1.7419
0.5104,1.7368
0.5110,1.7419
0.5115,1.7419
0.5120,1.7419
0.5125,1.7368
0.5131,1.7317
0.5136,1.7419
0.5141,1.7317
0.5146,1.7368
0.5152,1.7419
0.5157,1.7368
0.5162,1.7368
0.5167,1.7419
0.5173,1.7368
0.5178,1.7368
0.5183,1.7368
0.5188,1.7419
0.5194,1.7419
0.5199,1.7368
0.5204,1.7368
0.5209,1.7368
0.5215,1.7419
0.5220,1.7419
0.5225,1.7368
0.5230,1.7368
0.5235,1.7419
0.5241,1.7368
0.5246,1.7368
0.5251,1.7419
0.5256,1.7419
0.5262,1.7368
0.5267,1.7419
0.5272,1.7368
0.5277,1.7419
0.5283,1.7368
0.5288,1.7419
0.5293,1.7419
0.5299,1.7419
0.5304,1.7368
0.5309,1.7368
0.5314,1.7368
0.5320,1.7368
0.5325,1.7368
0.5330,1.7368
0.5335,1.7368
0.5341,1.7368
0.5346,1.7368
0.5351,1.7419
0.5356,1.7317
0.5362,1.7368
0.5367,1.7419
0.5372,1.7368
0.5377,1.7368
0.5383,1.7368
0.5388,1.7368
0.5393,1.7419
0.5398,1.7368
0.5403,1.7368
0.5409,1.7317
0.5414,1.7368
0.5419,1.7368
0.5424,1.7368
0.5430,1.7368
0.5435,1.7368
0.5440,1.7368
0.5445,1.7368
0.5451,1.7419
0.5456,1.7368
0.5461,1.7317
0.5466,1.7368
0.5472,1.7368
0.5477,1.7368
0.5482,1.7419
0.5487,1.7368
0.5493,1.7368
0.5498,1.7368
0.5503,1.7317
0.5508,1.7419
