с,В
30.5249,1.2296
30.5255,1.2363
30.5260,1.2503
30.5266,1.2652
30.5271,1.2737
30.5277,1.2709
30.5282,1.2573
30.5288,1.2391
30.5294,1.2257
30.5299,1.2251
30.5305,1.2398
30.5310,1.2652
30.5316,1.2925
30.5321,1.3126
30.5327,1.3214
30.5332,1.3214
30.5338,1.3199
30.5343,1.3258
30.5349,1.3460
30.5354,1.3819
30.5360,1.4287
30.5365,1.4762
30.5371,1.5126
30.5376,1.5276
30.5382,1.5167
30.5387,1.4817
30.5393,1.4305
30.5398,1.3745
30.5404,1.3251
30.5409,1.2900
30.5415,1.2718
30.5421,1.2680
30.5426,1.2737
30.5432,1.2830
30.5437,1.2916
30.5443,1.2972
30.5448,1.2997
30.5454,1.3002
30.5459,1.3002
30.5465,1.3007
30.5470,1.3015
30.5476,1.3016
30.5482,1.2994
30.5487,1.2940
30.5493,1.2857
30.5498,1.2762
30.5504,1.2690
30.5509,1.2673
30.5515,1.2724
30.5520,1.2821
30.5526,1.2905
30.5531,1.2902
30.5537,1.2764
30.5542,1.2498
30.5548,1.2170
30.5553,1.1881
30.5559,1.1718
30.5564,1.1725
30.5570,1.1885
30.5575,1.2143
30.5581,1.2423
30.5586,1.2657
30.5592,1.2788
30.5597,1.2787
30.5603,1.2653
30.5608,1.2426
30.5614,1.2170
30.5619,1.1962
30.5625,1.1856
30.5630,1.1868
30.5636,1.1958
30.5641,1.2050
30.5647,1.2062
30.5652,1.1947
30.5658,1.1717
30.5664,1.1432
30.5669,1.1185
30.5675,1.1074
30.5680,1.1170
30.5686,1.1492
30.5691,1.1984
30.5697,1.2523
30.5702,1.2949
30.5708,1.3117
30.5713,1.2937
30.5719,1.2406
30.5724,1.1616
30.5730,1.0741
30.5735,1.0000
30.5741,0.9594
30.5746,0.9647
30.5752,1.0161
30.5757,1.1013
30.5763,1.1989
30.5769,1.2846
30.5774,1.3387
30.5780,1.3513
30.5785,1.3247
30.5791,1.2712
30.5796,1.2084
30.5802,1.1537
30.5807,1.1196
30.5813,1.1126
30.5818,1.1323
30.5824,1.1728
30.5829,1.2235
30.5835,1.2704
30.5840,1.2994
30.5846,1.3006
30.5851,1.2723
30.5857,1.2228
30.5862,1.1678
30.5868,1.1250
30.5874,1.1077
30.5879,1.1211
30.5885,1.1622
30.5890,1.2214
30.5896,1.2850
30.5901,1.3382
30.5907,1.3680
30.5912,1.3664
30.5918,1.3330
30.5923,1.2758
30.5929,1.2087
30.5934,1.1482
30.5940,1.1084
30.5945,1.0964
30.5951,1.1098
30.5956,1.1362
30.5962,1.1583
30.5967,1.1614
30.5973,1.1409
30.5978,1.1042
30.5984,1.0673
30.5990,1.0458
30.5995,1.0479
30.6001,1.0700
30.6006,1.1000
30.6012,1.1229
30.6017,1.1286
30.6023,1.1154
30.6028,1.0902
30.6034,1.0632
30.6040,1.0432
30.6045,1.0335
30.6051,1.0314
30.6056,1.0310
30.6062,1.0269
30.6067,1.0169
30.6073,1.0038
30.6078,0.9942
30.6084,0.9956
30.6089,1.0135
30.6095,1.0479
30.6100,1.0931
30.6106,1.1386
30.6111,1.1730
30.6117,1.1874
30.6122,1.1783
30.6128,1.1492
30.6133,1.1087
30.6139,1.0676
30.6144,1.0358
30.6150,1.0194
30.6155,1.0192
30.6161,1.0313
30.6166,1.0485
30.6172,1.0624
30.6178,1.0666
30.6183,1.0586
30.6189,1.0414
30.6194,1.0222
30.6200,1.0098
30.6205,1.0114
30.6211,1.0302
30.6216,1.0639
30.6222,1.1064
30.6228,1.1485
30.6234,1.1802
30.6240,1.1929
30.6246,1.1823
30.6252,1.1504
30.6258,1.1059
30.6263,1.0616
30.6269,1.0299
30.6274,1.0186
30.6280,1.0287
30.6285,1.0549
30.6291,1.0885
30.6296,1.1200
30.6302,1.1412
30.6307,1.1461
30.6313,1.1319
30.6318,1.0993
30.6324,1.0538
30.6329,1.0054
30.6335,0.9668
30.6340,0.9496
30.6346,0.9597
30.6351,0.9939
30.6357,1.0400
30.6362,1.0815
30.6368,1.1031
30.6374,1.0964
30.6379,1.0626
30.6385,1.0119
30.6391,0.9598
30.6396,0.9213
30.6402,0.9057
30.6407,0.9127
30.6412,0.9331
30.6417,0.9525
30.6422,0.9575
30.6427,0.9407
30.6434,0.9045
30.6441,0.8595
30.6450,0.8206
30.6460,0.8004
30.6471,0.8045
30.6482,0.8294
30.6492,0.8657
30.6500,0.9026
30.6508,0.9326
30.6514,0.9532
30.6519,0.9649
30.6524,0.9681
30.6529,0.9610
30.6535,0.9408
30.6540,0.9065
30.6546,0.8619
30.6552,0.8163
30.6557,0.7818
30.6563,0.7691
30.6569,0.7824
30.6574,0.8170
30.6580,0.8604
30.6585,0.8964
30.6591,0.9117
30.6596,0.9012
